Arches terminology,Universal terminology,User form,,,,,,,,,,,,,,,,,
CIDOC CRM Semantic Node Class,CIDOC CRM Class,,E42 Identifier,E39 Actor,,,,E40 Legal body,,,,E27 Site,,,E62 String,E62 String,E66 Formation,,
CIDOC CRM Node Class,CIDOC CRM Class,,E42 Identifier,E41 Appellation,E55 Type,E84 Information carrier,E55 Type,E40 Legal body,E55 Type,E50 Date,E50 Date,E45 Address,E53 Place,E53 Place,E62 String,E62 String,E82 Actor Appellation,E50 Date,E50 Date
CIDOC CRM Scope note,CIDOC CRM Scope note,,"This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them
uniquely and permanently within the context of one or more organisations. Such codes are often known
as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences.
The class E42 Identifier is not normally used for machine-generated identifiers used for automated
processing unless these are also used by human agents","This class comprises signs, either meaningful or not, or arrangements of signs following a specific
syntax, that are used or can be used to refer to and identify a specific instance of some class or category
within a certain context.
Instances of E41 Appellation do not identify things by their meaning, even if they happen to have one,
but instead by convention, tradition, or agreement. Instances of E41 Appellation are cultural constructs;
as such, they have a context, a history, and a use in time and space by some group of users. A given
instance of E41 Appellation can have alternative forms, i.e., other instances of E41 Appellation that are
always regarded as equivalent independent from the thing it denotes.
Specific subclasses of E41 Appellation should be used when instances of E41 Appellation of a
characteristic form are used for particular objects. Instances of E49 Time Appellation, for example,
which take the form of instances of E50 Date, can be easily recognised","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties","This class comprises all instances of E22 Man-Made Object that are explicitly designed to act as
persistent physical carriers for instances of E73 Information Object.
An E84 Information Carrier may or may not contain information, e.g., a diskette. Note that any E18
Physical Thing may carry information, such as an E34 Inscription. However, unless it was specifically
designed for this purpose, it is not an Information Carrier. Therefore the property P128 carries (is
carried by) applies to E18 Physical Thing in general.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties","This class comprises institutions or groups of people that have obtained a legal recognition as a group
and can act collectively as agents.
This means that they can perform actions, own property, create or destroy things and can be held
collectively responsible for their actions like individual people. The term 'personne morale' is often
used for this in French","This class comprises any sort of name, number, code or symbol characteristically used to identify an E39 Actor.
An E39 Actor will typically have more than one E82 Actor Appellation, and instances of E82 Actor
Appellation in turn may have alternative representations. The distinction between corporate and
personal names, which is particularly important in library applications, should be made by explicitly
linking the E82 Actor Appellation to an instance of either E21 Person or E74 Group/E40 Legal Body.
If this is not possible, the distinction can be made through the use of the P2 has type mechanism","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision.","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision.","This class comprises identifiers expressed in coding systems for places, such as postal addresses used
for mailing.
An E45 Address can be considered both as the name of an E53 Place and as an E51 Contact Point for
an E39 Actor. This dual aspect is reflected in the multiple inheritance. However, some forms of mailing addresses, such as a postal box, are only instances of E51 Contact Point, since they do not identify any
particular Place. These should not be documented as instances of E45 Address","This class comprises extents in space, in particular on the surface of the earth, in the pure sense of
physics: independent from temporal phenomena and matter.
The instances of E53 Place are usually determined by reference to the position of “immobile” objects
such as buildings, cities, mountains, rivers, or dedicated geodetic marks. A Place can be determined by combining a frame of reference and a location with respect to this frame. It may be identified by one or
more instances of E44 Place Appellation.
It is sometimes argued that instances of E53 Place are best identified by global coordinates or absolute
reference systems. However, relative references are often more relevant in the context of cultural
documentation and tend to be more precise. In particular, we are often interested in position in relation
to large, mobile objects, such as ships. For example, the Place at which Nelson died is known with
reference to a large mobile object – H.M.S Victory. A resolution of this Place in terms of absolute
coordinates would require knowledge of the movements of the vessel and the precise time of death,
either of which may be revised, and the result would lack historical and cultural relevance.
Any object can serve as a frame of reference for E53 Place determination. The model foresees the
notion of a ""section"" of an E19 Physical Object as a valid E53 Place determination","This class comprises extents in space, in particular on the surface of the earth, in the pure sense of
physics: independent from temporal phenomena and matter.
The instances of E53 Place are usually determined by reference to the position of “immobile” objects
such as buildings, cities, mountains, rivers, or dedicated geodetic marks. A Place can be determined by combining a frame of reference and a location with respect to this frame. It may be identified by one or
more instances of E44 Place Appellation.
It is sometimes argued that instances of E53 Place are best identified by global coordinates or absolute
reference systems. However, relative references are often more relevant in the context of cultural
documentation and tend to be more precise. In particular, we are often interested in position in relation
to large, mobile objects, such as ships. For example, the Place at which Nelson died is known with
reference to a large mobile object – H.M.S Victory. A resolution of this Place in terms of absolute
coordinates would require knowledge of the movements of the vessel and the precise time of death,
either of which may be revised, and the result would lack historical and cultural relevance.
Any object can serve as a frame of reference for E53 Place determination. The model foresees the
notion of a ""section"" of an E19 Physical Object as a valid E53 Place determination","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the model","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the model","This class comprises any sort of name, number, code or symbol characteristically used to identify an E39 Actor.
An E39 Actor will typically have more than one E82 Actor Appellation, and instances of E82 Actor
Appellation in turn may have alternative representations. The distinction between corporate and
personal names, which is particularly important in library applications, should be made by explicitly
linking the E82 Actor Appellation to an instance of either E21 Person or E74 Group/E40 Legal Body.
If this is not possible, the distinction can be made through the use of the P2 has type mechanism.","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision.","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision."
Semantic Node,Group,Group,Identifier,Actor,,,,Association,,,,Location,,,Description,Comment,Arches upload details,,
Language 1: en (node),Metadata (en),Metadata (en),MAEASaM ID,Name,Name type,Contact information,Actor type,Associated with,Nature of association,Start date,End date,Address,Country,Geometry (WKT),Description,Comment,Uploader name,Upload date,Resource last modified at
Language 2: fr (node),Metadata (fr),Metadata (fr),MAEASaM ID,Nom,Type de nom,,,,Nature de l'association,,,Adresse,Pays,Géométrie,Description,Commentaire,,,
Language 3: ar (node),Metadata (ar),Metadata (ar),MAEASaM ID,,,,,,,,,,,,,,,,
Language 4: pt (node),Metadata (pt),Metadata (pt),MAEASaM ID,,,,,,,,,,,,,,,,
Node Type,Data Type,Data Type,String,String,Concept-list,String,Concept-list,Resource-Instance-List,Concept-list,EDTF,EDTF,String,String,GeoJSON-feature-collection,String,String,String,EDTF,EDTF
Collection:,Collection,Collection,,,Name type (cv),,Actor type (cv),Actor (rm),Nature of association (cv),,,,,,,,,,
