Arches terminology,Universal terminology,User form,,,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Semantic Node Class,CIDOC CRM Semantic Node Class,,E42 Identifier,,E55 Type,E31 Document,,,,,,,,,,,,,,E30 Right,,E62 String,E39 Actor,E50 Date,
CIDOC CRM Node Class,CIDOC CRM Node Class,,E42 Identifier,,E55 Type,E35 Title,E39 Actor,E74 Group,E50 Date,E31 Document,E31 Document,E42 Identifier,E42 Identifier,,E62 String,E62 String,E51 Contact Point,E56 Language,E62 String,E30 Right,,E62 String,E39 Actor,E50 Date,E50 Date
CIDOC CRM Scope note,CIDOC CRM Scope note,,"This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. ",,"This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties","This class comprises the names assigned to works, such as texts, artworks or pieces of music. Titles are proper noun phrases or verbal phrases, and should not be confused with generic object names
such as “chair”, “painting” or “book” (the latter are common nouns that stand for instances of E55
Type). Titles may be assigned by the creator of the work itself, or by a social group.
This class also comprises the translations of titles that are used as surrogates for the original titles in
different social contexts.","This class comprises people, either individually or in groups, who have the potential to perform
intentional actions of kinds for which someone may be held responsible.
The CRM does not attempt to model the inadvertent actions of such actors. Individual people should be
documented as instances of E21 Person, whereas groups should be documented as instances of either
E74 Group or its subclass E40 Legal Body.","This class comprises any gatherings or organizations of E39 Actors that act collectively or in a similar
way due to any form of unifying relationship. In the wider sense this class also comprises official
positions which used to be regarded in certain contexts as one actor, independent of the current holder
of the office, such as the president of a country. In such cases, it may happen that the Group never had
more than one member. A joint pseudonym (i.e., a name that seems indicative of an individual but
that is actually used as a persona by two or more people) is a particular case of E74 Group A gathering of people becomes an E74 Group when it exhibits organizational characteristics usually
typified by a set of ideas or beliefs held in common, or actions performed together. These might be
communication, creating some common artifact, a common purpose such as study, worship, business,
sports, etc. Nationality can be modelled as membership in an E74 Group (cf. HumanML markup).
Married couples and other concepts of family are regarded as particular examples of E74 Group.","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision.","his class comprises identifiable immaterial items that make propositions about reality.
These propositions may be expressed in text, graphics, images, audiograms, videograms or by other
similar means. Documentation databases are regarded as a special case of E31 Document. This class
should not be confused with the term “document” in Information Technology, which is compatible
with E73 Information Object.","his class comprises identifiable immaterial items that make propositions about reality.
These propositions may be expressed in text, graphics, images, audiograms, videograms or by other
similar means. Documentation databases are regarded as a special case of E31 Document. This class
should not be confused with the term “document” in Information Technology, which is compatible
with E73 Information Object.","This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. ","This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. ",,"This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the mode","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the mode","This class comprises identifiers employed, or understood, by communication services to direct
communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post
office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of
E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used. URLs are addresses used by machines to access another machine through an http request. Since the
accessed machine acts on behalf of the E39 Actor providing the machine, URLs are considered as
instances of E51 Contact Point to that E39 Actor.","This class is a specialization of E55 Type and comprises the natural languages in the sense of concepts.
This type is used categorically in the model without reference to instances of it, i.e. the Model does not
foresee the description of instances of instances of E56 Language, e.g.: “instances of Mandarin
Chinese”.
It is recommended that internationally or nationally agreed codes and terminology are used to denote
instances of E56 Language, such as those defined in ISO 639:1988","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the mode","This class comprises legal privileges concerning material and immaterial things or their derivatives.
These include reproduction and property rights.",,"This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the mode","This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. ","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision"
Semantic Node (card),Group,Group,Identifiers,,Resource type,Publication information,,,,,,,,,,,,,,Copyright/access,\,Comment,Recorder,Resource version control,
Node (En),Metadata (En),Metadata (En),MAEASaM ID,Zotero Key,Resource type,Title of resource,Author,Publisher,Year of publication,Book or journal information,Book or journal edition,DOI,ISBN,ISSN,Page numbers,Volume,URL,Language,Abstract Note,Copyright,,Comment,Recorder,Resource created at,Resource last modified at
Node (Fr),Metadata (Fr),Metadata (Fr),MAEASaM ID,,Type de la  ressource,Titre de la ressource,Auteur,Éditeur,Année de publication,Informations sur les livres ou les revues,Édition d'un livre ou d'une revue,DOI,ISBN,ISSN,,,URL,,Édition de la publication,,,Commentaire,Enregistreur,Ressource créée à,Dernière modification de la ressource
Node (Ar),Metadata (Ar),Metadata (Ar),,,,,,,,,,,,,,,,,,,,,,,
Node (Pt),Metadata (Pt),Metadata (Pt),,,,,,,,,,,,,,,,,,,,,,,
Data Type,Data Type,Data Type,String,String,Concept-list,String,String,String,Date,String,String,String,String,String,String,String,URL,Concept-list,String,String,String,String,Resource-Instance-List,Date,Date
Collection,Collection,Collection,N/A,N/A,Resource type (CV),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Languages (CV),N/A,N/A,N/A,N/A,Actor Model (RM),N/A,N/A
,Necessity,Necessity,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Mandatory,Strongly recommended
,Cardinality,Cardinality,1,1,1,1,1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..n,0..1,0..1,0..1,0..1,0..1,1,0..1
,Dublin Core Equivalent,Dublin Core Equivalent,,,,,,,,,,,,,,,,,,,,,,,
,Operational Info,Operational Info,,,,,,,,,,,,,,,,,,,,,,,
