Arches terminology,Universal terminology,User form,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
CIDOC CRM Semantic Node Class,CIDOC CRM Semantic Node Class,,E42 Identifier,,,E41 Appellation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Node Class,CIDOC CRM Node Class,,E42 Identifier,,,E35 Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Scope note,CIDOC CRM Scope note,,"This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. ",,,"This class comprises the names assigned to works, such as texts, artworks or pieces of music. Titles are proper noun phrases or verbal phrases, and should not be confused with generic object names
such as “chair”, “painting” or “book” (the latter are common nouns that stand for instances of E55
Type). Titles may be assigned by the creator of the work itself, or by a social group.
This class also comprises the translations of titles that are used as surrogates for the original titles in
different social contexts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semantic Node (card),Group,Group,Identifiers,,,Map Details,,,,,,,,,,File Location,,,Publication Information,,,Cartographic Information,,,,,,,,,,,Digitisation Status,,,,,,,,,,Digital Transformation Details,,,Recording Details,,,Copyright/Access,,,,,Uploader Details,,
Node (En),Metadata (En),Metadata (En),MAEASaM ID,Local ID,Geographical Identifier,Map Name,Sheet Code,Series,Edition,Scale,Map Material,Map Dimensions,Map Type,Map Condition,Description,Digital File Name,Digital File Path,Physical File Place,Publisher,Publication Year,Sheet History,Grid,Projection,Spheroid,Unit of,Meridian of,Latitude of,Scale Factor,False Co-ords,False Co-ords of Origin,Datum,Annotation,Is Digitised?,Digitisation Person,Digitisation Date,Is Georeferenced?,Georeference Person,Georeference Date,Is Clipped?,Clipping Person,Clipping Date,Digitisation Method,Digitisation Tool,Color Detail,File Resolution,Recorder,Comment,Resource created at,Licence,Access level,Rights holder,Rights Notes,Preferred Citation,Uploader Name,Upload Date,Resource last modified at
Node (Fr),Metadata (Fr),Metadata (Fr),MAEASaM ID,ID Local,Identifiant géographique,Nom de la carte,Code de la feuille,Série,Edition,Echelle,Matériau,Dimensions,Type de carte,Condition de la carte,Description,Nom du fichier digitalisé,Chemin d'accès au fichier numérique,Emplacement physique,Edition,Année d'édition,Historique de la feuille,Grille,Projection,Sphéroïde,Unité de,Méridien de,Latitude de ,Facteur d'échelle,,,Datum,Annotation,Digitalisée ?,Auteur de la digitalisation,Date de digitalisation,Géoréférencée ?,Auteur du géoréférencement,Date de géoréférencement,,,,Méthode de digitalisation,Outil de digitalisation,Détail couleur,Résolution du fichier,Enregistreur,Commentaire,Date de l'enregistrement,Licence,Niveau d’accès,Titulaire des droits,,,Auteur du téléversement,Date de téléversement,Dernière modification d'enregistrement
Node (Ar),Metadata (Ar),Metadata (Ar),معرّف MAEASaM,المعرّف المحلي,المعرّف الجغرافي,اسم الخريطة,رمز الورقة,السلسلة,الطبعة,مقياس الرسم,مادة الخريطة,أبعاد الخريطة,نوع الخريطة,حالة الخريطة,الوصف,اسم الملف الرقمي,مسار الملف الرقمي,مكان الملف المادي,الناشر,سنة النشر,تاريخ الورقة,الشبكة,الإسقاط,الكرة الإهليلجية,وحدة القياس,خط الزوال المركزي,دائرة العرض الأصلية,معامل مقياس الرسم,الإحداثيات الكاذبة,الإحداثيات الكاذبة لنقطة الأصل,المرجع الجيوديسي,التعليقات التوضيحية,هل تمت الرقمنة؟,الشخص المسؤول عن الرقمنة,تاريخ الرقمنة,هل تم الإسناد الجغرافي؟,الشخص المسؤول عن الإسناد الجغرافي,تاريخ الإسناد الجغرافي,هل تم القص؟,الشخص المسؤول عن القص,تاريخ القص,طريقة الرقمنة,أداة الرقمنة,تفاصيل الألوان,دقة الملف,المسجّل,ملاحظة,تاريخ إنشاء المورد,الترخيص,مستوى الوصول,صاحب الحقوق,ملاحظات الحقوق,الاستشهاد المفضّل,اسم الرافع,تاريخ الرفع,تاريخ آخر تعديل للمورد
Node (Pt),Metadata (Pt),Metadata (Pt),ID MAEASaM,ID local,Identificador geográfico,Nome do mapa,Código da folha,Série,Edição,Escala,Material do mapa,Dimensões do mapa,Tipo de mapa,Condição do mapa,Descrição,Nome do arquivo digital,Caminho do arquivo digital,Localização do arquivo físico,Editor,Ano de publicação,Histórico da folha,Grade,Projeção,Esferoide,Unidade de medida,Meridiano central,Latitude de origem,Fator de escala,Coordenadas falsas,Coordenadas falsas da origem,Datum geodésico,Anotação,Foi digitalizado?,Pessoa responsável pela digitalização,Data da digitalização,Foi georreferenciado?,Pessoa responsável pelo georreferenciamento,Data do georreferenciamento,Foi recortado?,Pessoa responsável pelo recorte,Data do recorte,Método de digitalização,Ferramenta de digitalização,Detalhes de cor,Resolução do arquivo,Responsável pelo registro,Comentário,Data de criação do recurso,Licença,Nível de acesso,Titular dos direitos,Notas sobre direitos,Citação preferencial,Nome de quem fez o upload,Data do upload,Data da última modificação do recurso
Data Type,Data Type,Data Type,String,String,Concept-list,String,String,String,String,String,String,String,Concept-list,Concept-list,String,String,String,String,String,Date,String,Resource-Instance-List,String,String,String,String,String,String,String,String,String,String,Boolean,String,Date,Boolean,String,Date,Boolean,String,Date,Concept-list,String,String,String,String,String,Date,Concept-list,Concept-list,Resource-Instance-List,String,String,String,Date,Date
Collection,Collection,Collection,N/A,N/A,Countries (cv),N/A,N/A,N/A,N/A,N/A,N/A,N/A,Map Types (cv),Document Conditions (cv),N/A,N/A,N/A,N/A,N/A,N/A,N/A,Grids (rm),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digitisation Methods (cv),N/A,N/A,N/A,N/A,N/A,N/A,Licences (cv),Access Levels (cv),Actor (rm),N/A,N/A,N/A,N/A,N/A
