Arches terminology,Universal terminology,User form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Semantic Node Class,CIDOC CRM Semantic Node Class,,E42 Identifier,E7 Activity,E50 Date,E82,,,E53 Place,,,,,,,,E4 Period,E16 Measurement,,,,E41 Appellation,,E41 Appellation,E55,,,E17 Type Assignment,,,,,,,,,,,E17 Type Assignment,,,,,,,,,,,,,E62 String,,,,,,,,,,,,,,
CIDOC CRM Node Class,CIDOC CRM Node Class,,E42 Identifier,E7 Activity,E50 Date,E82 Actor Appellation,,E55 Type,E26 Physical Feature,E53 Place,E17 Type Assignment,E55 Type,E7 Activity,E55 Type,E55 Type,E27 Site,E4 Period,E58 Measurement Unit,,E16 Measurement,E53 Place,E53 Place,E41 Appellation,E41 Appellation,E55 Type,E55 Type,E50 Date,E39 Actor,E55 Type,E50 Date,E16 Measurement,E3 Condition State,E50 Date,E39 Actor,E50 Date,E55 Type,E55 Type,E55 Type,,E17 Type Assignment,E62 String,,E50 Date,E39 Actor,E50 Date,,E55 Type,E17 Type Assignment,E17 Type Assignment,E62 String,E62 String,E62 String,,,,,,E50 Date,E50 Date,E82 Actor Appellation,E62 String,,,,,
CIDOC CRM Scope note,CIDOC CRM Scope note,,"This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent.","This class comprises actions intentionally carried out by instances of E39 Actor that result in changes
of state in the cultural, social, or physical systems documented.
This notion includes complex, composite and long-lasting actions such as the building of a settlement
or a war, as well as simple, short-lived actions such as the opening of a door.","This class comprises specific forms of E49 Time Appellation. (Definition of the CIDOC Conceptual Reference Model version 6.2.2)
 
Dates may vary in their degree of precision.","Comprises names, numbers, or codes used to identify an E39 Actor (Person or Group)",,"This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises identifiable features that are physically attached in an integral way to particular
physical objects.
Instances of E26 Physical Feature share many of the attributes of instances of E19 Physical Object.
They may have a one-, two- or three-dimensional geometric extent, but there are no natural borders that
separate them completely in an objective way from the carrier objects. For example, a doorway is a
feature but the door itself, being attached by hinges, is not.
Instances of E26 Physical Feature can be features in a narrower sense, such as scratches, holes, reliefs,
surface colours, reflection zones in an opal crystal or a density change in a piece of wood. In the wider
sense, they are portions of particular objects with partially imaginary borders, such as the core of the
Earth, an area of property on the surface of the Earth, a landscape or the head of a contiguous marble
statue. They can be measured and dated, and it is sometimes possible to state who or what is or was
responsible for them. They cannot be separated from the carrier object, but a segment of the carrier
object may be identified (or sometimes removed) carrying the complete feature","This class comprises extents in space, in particular on the surface of the earth, in the pure sense of
physics: independent from temporal phenomena and matter.
The instances of E53 Place are usually determined by reference to the position of “immobile” objects
such as buildings, cities, mountains, rivers, or dedicated geodetic marks. A Place can be determined by combining a frame of reference and a location with respect to this frame. It may be identified by one or
more instances of E44 Place Appellation.
It is sometimes argued that instances of E53 Place are best identified by global coordinates or absolute
reference systems. However, relative references are often more relevant in the context of cultural
documentation and tend to be more precise. In particular, we are often interested in position in relation
to large, mobile objects, such as ships. For example, the Place at which Nelson died is known with
reference to a large mobile object – H.M.S Victory. A resolution of this Place in terms of absolute
coordinates would require knowledge of the movements of the vessel and the precise time of death,
either of which may be revised, and the result would lack historical and cultural relevance","This class comprises the actions of classifying items of whatever kind. Such items include objects,
specimens, people, actions and concepts.
This class allows for the documentation of the context of classification acts in cases where the value of
the classification depends on the personal opinion of the classifier, and the date that the classification
was made. This class also encompasses the notion of ""determination,"" i.e. the systematic and molecular
identification of a specimen in biology","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises actions intentionally carried out by instances of E39 Actor that result in changes
of state in the cultural, social, or physical systems documented.
This notion includes complex, composite and long-lasting actions such as the building of a settlement
or a war, as well as simple, short-lived actions such as the opening of a door.","This class comprises actions intentionally carried out by instances of E39 Actor that result in changes
of state in the cultural, social, or physical systems documented.
This notion includes complex, composite and long-lasting actions such as the building of a settlement
or a war, as well as simple, short-lived actions such as the opening of a door.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises pieces of land or sea floor.
In contrast to the purely geometric notion of E53 Place, this class describes constellations of matter on
the surface of the Earth or other celestial body, which can be represented by photographs, paintings and
maps.
Instances of E27 Site are composed of relatively immobile material items and features in a particular
configuration at a particular location.","This class comprises sets of coherent phenomena or cultural manifestations occurring in time and
space.
It is the social or physical coherence of these phenomena that identify an E4 Period and not the
associated spatiotemporal extent. This extent is only the “ground” or space in an abstract physical sense
that the actual process of growth, spread and retreat has covered. Consequently, different periods can
overlap and coexist in time and space, such as when a nomadic culture exists in the same area and time
as a sedentary culture. This also means that overlapping land use rights, common among first nations,
amounts to overlapping periods","This class is a specialization of E55 Type and comprises the types of measurement units: feet, inches,
centimetres, litres, lumens, etc. This type is used categorically in the model without reference to instances of it, i.e. the Model does not
foresee the description of instances of instances of E58 Measurement Unit, e.g.: “instances of cm”.
Système International (SI) units or internationally recognized non-SI terms should be used whenever
possible. (ISO 1000:1992). Archaic Measurement Units used in historical records should be preserved.",,"This class comprises actions measuring physical properties and other values that can be determined by
a systematic procedure","This class comprises extents in space, in particular on the surface of the earth, in the pure sense of
physics: independent from temporal phenomena and matter.
The instances of E53 Place are usually determined by reference to the position of “immobile” objects
such as buildings, cities, mountains, rivers, or dedicated geodetic marks. A Place can be determined by combining a frame of reference and a location with respect to this frame. It may be identified by one or
more instances of E44 Place Appellation.
It is sometimes argued that instances of E53 Place are best identified by global coordinates or absolute
reference systems. However, relative references are often more relevant in the context of cultural
documentation and tend to be more precise. In particular, we are often interested in position in relation
to large, mobile objects, such as ships. For example, the Place at which Nelson died is known with
reference to a large mobile object – H.M.S Victory. A resolution of this Place in terms of absolute
coordinates would require knowledge of the movements of the vessel and the precise time of death,
either of which may be revised, and the result would lack historical and cultural relevance","This class comprises extents in space, in particular on the surface of the earth, in the pure sense of
physics: independent from temporal phenomena and matter.
The instances of E53 Place are usually determined by reference to the position of “immobile” objects
such as buildings, cities, mountains, rivers, or dedicated geodetic marks. A Place can be determined by combining a frame of reference and a location with respect to this frame. It may be identified by one or
more instances of E44 Place Appellation.
It is sometimes argued that instances of E53 Place are best identified by global coordinates or absolute
reference systems. However, relative references are often more relevant in the context of cultural
documentation and tend to be more precise. In particular, we are often interested in position in relation
to large, mobile objects, such as ships. For example, the Place at which Nelson died is known with
reference to a large mobile object – H.M.S Victory. A resolution of this Place in terms of absolute
coordinates would require knowledge of the movements of the vessel and the precise time of death,
either of which may be revised, and the result would lack historical and cultural relevance","This class comprises signs, either meaningful or not, or arrangements of signs following a specific syntax, that are used or can be used to refer to and identify a specific instance of some class or category within a certain context.
 
Instances of E41 Appellation do not identify things by their meaning, even if they happen to have one, but instead by convention, tradition, or agreement. Instances of E41 Appellation are cultural constructs; as such, they have a context, a history, and a use in time and space by some group of users. A given instance of E41 Appellation can have alternative forms, i.e., other instances of E41 Appellation that are always regarded as equivalent independent from the thing it denotes. 
 
Specific subclasses of E41 Appellation should be used when instances of E41 Appellation of a characteristic form are used for particular objects. Instances of E49 Time Appellation, for example, which take the form of instances of E50 Date, can be easily recognised.","This class comprises signs, either meaningful or not, or arrangements of signs following a specific syntax, that are used or can be used to refer to and identify a specific instance of some class or category within a certain context.
 
Instances of E41 Appellation do not identify things by their meaning, even if they happen to have one, but instead by convention, tradition, or agreement. Instances of E41 Appellation are cultural constructs; as such, they have a context, a history, and a use in time and space by some group of users. A given instance of E41 Appellation can have alternative forms, i.e., other instances of E41 Appellation that are always regarded as equivalent independent from the thing it denotes. 
 
Specific subclasses of E41 Appellation should be used when instances of E41 Appellation of a characteristic form are used for particular objects. Instances of E49 Time Appellation, for example, which take the form of instances of E50 Date, can be easily recognised.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises identifiers employed, or understood, by communication services to direct
communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post
office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of
E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used.","This class comprises people, either individually or in groups, who have the potential to perform
intentional actions of kinds for which someone may be held responsible.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises identifiers employed, or understood, by communication services to direct
communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post
office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of
E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used.","This class comprises actions measuring physical properties and other values that can be determined by
a systematic procedure","This class comprises the states of objects characterised by a certain condition over a time-span.
An instance of this class describes the prevailing physical condition of any material object or feature
during a specific E52 Time Span. In general, the time-span for which a certain condition can be
asserted may be shorter than the real time-span, for which this condition held.
The nature of that condition can be described using P2 has type. For example, the E3 Condition State
“condition of the SS Great Britain between 22 September 1846 and 27 August 1847” can be
characterized as E55 Type “wrecked”","This class comprises identifiers employed, or understood, by communication services to direct
communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post
office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of
E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used.","This class comprises people, either individually or in groups, who have the potential to perform
intentional actions of kinds for which someone may be held responsible.","This class comprises identifiers employed, or understood, by communication services to direct communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.",,"This class comprises the actions of classifying items of whatever kind. Such items include objects,
specimens, people, actions and concepts.
This class allows for the documentation of the context of classification acts in cases where the value of
the classification depends on the personal opinion of the classifier, and the date that the classification
was made. This class also encompasses the notion of ""determination,"" i.e. the systematic and molecular
identification of a specimen in biology","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.",,"This class comprises identifiers employed, or understood, by communication services to direct communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used.","This class comprises people, either individually or in groups, who have the potential to perform
intentional actions of kinds for which someone may be held responsible.","This class comprises identifiers employed, or understood, by communication services to direct communications to an instance of E39 Actor. These include E-mail addresses, telephone numbers, post office boxes, Fax numbers, URLs etc. Most postal addresses can be considered both as instances of E44 Place Appellation and E51 Contact Point. In such cases the subclass E45 Address should be used.",,"This class comprises concepts denoted by terms from thesauri and controlled vocabularies used to
characterize and classify instances of CRM classes. Instances of E55 Type represent concepts in
contrast to instances of E41 Appellation which are used to name instances of CRM classes.
E55 Type is the CRM’s interface to domain specific ontologies and thesauri. These can be represented
in the CRM as subclasses of E55 Type, forming hierarchies of terms, i.e. instances of E55 Type linked
via P127 has broader term (has narrower term). Such hierarchies may be extended with additional
properties.","This class comprises the actions of classifying items of whatever kind. Such items include objects,
specimens, people, actions and concepts.
This class allows for the documentation of the context of classification acts in cases where the value of
the classification depends on the personal opinion of the classifier, and the date that the classification
was made. This class also encompasses the notion of ""determination,"" i.e. the systematic and molecular
identification of a specimen in biology","This class comprises the actions of classifying items of whatever kind. Such items include objects,
specimens, people, actions and concepts.
This class allows for the documentation of the context of classification acts in cases where the value of
the classification depends on the personal opinion of the classifier, and the date that the classification
was made. This class also encompasses the notion of ""determination,"" i.e. the systematic and molecular
identification of a specimen in biology","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.
E62 String is not further elaborated upon within the model",,,,,,"This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision.","This class comprises specific forms of E49 Time Appellation.
Dates may vary in their degree of precision.","This class comprises any sort of name, number, code or symbol characteristically used to identify an E39 Actor.
An E39 Actor will typically have more than one E82 Actor Appellation, and instances of E82 Actor
Appellation in turn may have alternative representations. The distinction between corporate and
personal names, which is particularly important in library applications, should be made by explicitly
linking the E82 Actor Appellation to an instance of either E21 Person or E74 Group/E40 Legal Body.
If this is not possible, the distinction can be made through the use of the P2 has type mechanism.","This class comprises the instances of E59 Primitive Values used for documentation such as free text
strings, bitmaps, vector graphics, etc.",,,,,Copyright/access
Semantic Node (card),Group,,MAEASaM ID,Activity Summary,,,Geometry information,,Site description,,,,,,,Related site,Chronology,Measurements,,,MAEASaM grid,,Administrative information,,,Survey details,,,,,,Condition assessment,,,,,,,,,,,,,,Threats,,,,,,Additional information,Copyright/access node,,,,,Resource version control,,,,,,,,
Node (En),Metadata (En),Metadata (En),MAEASaM ID,Activity type,Activity date,Activity actor,Geometry (WKT),Geometry qualifier,Evidence,Evidence shape,Interpretation,Interpretation certainty,Ground truthing,Land use land cover,Climatic zone,Related site,Chronology,Measurement type,Measurement unit,Measurement value,Grid level 1,Grid level 2,Administrative area name,Administrative area type,Administrative area level,Survey type,Survey date,Surveyor name,Image type,Date of image,Spatial resolution m,Overall condition,Assessment date,Assessor name,Date of image used,Disturbance cause,Disturbance frequency,Disturbance effect,Extent of impact,Severity of impact,Condition comments,Recommendation for management of disturbance,Threat assessment date,Threat assessor name,Date of image used,Basis of threat assessment,Threat type,Threat severity,Probability of threat affecting site,Threat comments,Recommendation for management of threat,Additional information,Licence,Access level,Rights holder,Copyright info,Reference institution,Resource created at,Resource last modified at,Name of the recorder,Nodes modified,,,,,
Node (Fr),Metadata (Fr),Metadata (Fr),MAEASaM ID,Type d’activité,Date de l’activité,Acteur de l’activité,,Qualificatif de géométrie,Preuves,Forme des preuves,Interprétation,Certitude d'interprétation,Le sol a été vérifié,Utilisation du sol Couverture du sol,Zone climatique,,Chronologie,Type de mesure,Unité de mesure,Valeur de la mesure,Niveau de grille 1,Niveau de grille2,Nom de la zone d'administration,Type de zone administrative,Niveau administratif,Type d'enquête,Date de l'enquête,Nom de l’enquêteur / de l’enquêtrice,Type d'image,Date de l'image,Résolution spatiale m,État général,Date d'évaluation,Nom de l'évaluateur,Date de l'image utilisée,Cause de la perturbation,Fréquence de la perturbation,Effet de la perturbation,Étendue de l’impact,Gravité de l'impact,Commentaires sur les perturbations,Recommandation pour la gestion des perturbations,Date de l'évaluation de la menace,Nom de l'évaluateur de la menace,Date de l'image utilisée,Base de l'évaluation de la menace,Type de menace,Gravité de la menace,Probabilité que la menace affecte le site,Commentaires sur les menaces,Recommandation pour la gestion de la menace,Informations complémentaires,Licence,Niveau d’accès,Titulaire des droits,Informations sur les droits d’auteur,Institution de référence,Ressource créée à,Dernière modification de la ressource,Nom de l'enregistreur,Nœuds modifiés,,,,,
Node (Ar),Metadata (Ar),Metadata (Ar),MAEASaM ID,نوع النشاط,تاريخ النشاط,القائم بالنشاط,الاحداثيات بصيغة WKT,وصف الشكل الهندسي,الدليل,شكل الدليل,التفسير,درجة اليقين من التفسير,التحقق الميداني,استخدامات الأراضي / الغطاء الأرضي,المنطقة المناخية,موارد ذات صلة,التسلسل الزمني,نوع القياس,وحدة القياس,قيمة القياس,شبكة الاحداثيات المستوى الاول,شبكة الاحداثيات المستوى الثاتي,اسم المنطقة الإدارية,نوع المنطقة الإدارية,المستوى الإداري,نوع المسح,تاريخ المسح,اسم الشخص الذي يفوم بالمسح,نوع الصورة,تاريخ الصورة,الدقة المكانية (م),الحالة العامة,تاريخ التقييم,اسم المفيم,تاريخ الصورة المستخدمة,سبب الاضطراب,تكرار الاضطراب,تأثير الاضطراب,مدى التأثير,شدة التأثير,ملاحظات الحالة,توصية لإدارة الاضطراب,تاريخ تقييم التهديد,اسم مقيّم التهديد,تاريخ الصورة المستخدمة,أساس تقييم التهديد,نوع التهديد,شدة التهديد,احتمالية تأثير التهديد على الموقع,تعليقات,توصية لإدارة التهديد,معلومات إضافية,حقوق النشر / الوصول,حقوق النشر / الوصول,صاحب الحقوق,معلومات حقوق النشر,الجهة المرجعية لبيانات الموقع,تاريخ إنشاء المورد,تاريخ آخر تعديل للمورد,اسم المُسجّل,التي تم تعديلها,,,,,
Node (Pt),Metadata (Pt),Metadata (Pt),MAEASaM ID,Tipo de actividade,Data de actividade,Autor(a) de actividade,Geometria (WKT),Qualificador de geometria,Evidência,Formato de evidência,Interpretação,Certeza de interpretação,Verificação em campo,Uso e cobertura do solo,Zona climática,Estação relacionada,Cronologia,TIpo de medição,Unidade de medição,Valor de medição,Nivel da grelha 1,Nivel da grelha 2,Nome da área administrativa,Tipo da área administrativa,Nível da área administrativa,Tipo de pesquisa,Data de prospecção,Nome do(a) prospector(a),Tipo de imagem,Data da imagem,Resolução espacial m,Condição geral,Data de avaliação,Nome do(a) avaliador(a),Data da imagem usada,Causa da perturbação,Frequência da perturbação,Efeito da perturbação,Extensão do impacto,Gravidade do impacto,Comentários sobre condição,Recomendação para a gestão da perturbação,Data de avaliação de ameaças,Nome de avaliador (a) de ameaças,Data da imagem usada,Base de avaliação de ameaças,Tipo de ameaça,Gravidade de ameaça,Probabilidade de ameaça afectar o locl,Comentários sobre a ameaça,recomendações para a gestão de ameaças,Informação adicional,Licença,Nível de acesso,Titular dos direitos,Informações sobre os direitos do autor,,Recurso criado em,Recurso modificado pela última vez em,,Nós modificados,,,,,
Data Type,Data Type,Data Type,String,Concept-list,Date,Resource-Instance-List,GeoJSON-feature-collection,Concept-list,Concept-list,Concept-list,Concept-list,Concept-list,Concept-list,Concept-list,Concept-list,Resource-Instance-List,Resource-Instance-List,Concept-list,Concept-list,Number,Resource-Instance-List,Resource-Instance-List,Resource-Instance-List,Concept-list,Concept-list,Concept-list,Date,Resource-Instance-List,Concept-list,Date,Number,Concept-list,Date,Resource-Instance-List,Date,Concept-list,Concept-list,Concept-list,Concept-list,Concept-list,String,String,Date,Resource-Instance-List,Date,Concept-list,Concept-list,Concept-list,Concept-list,String,String,String,String,String,String,String,String,Date,Date,Resource-Instance-List,String,,,,,
Collection,Collection,Collection,,Vocabulary: Activity/event type,,Resource model: Actor,,Vocabulary: Official division,Vocabulary: Evidence,Vocabulary: Site shape,Vocabulary: Site descriptive type,Vocabulary: Certainty,Vocabulary: Recording/verification method,Vocabulary: LULC,Vocabulary: Climate zone,Resource model: Site,Resource model: Chronology,Vocabulary: Dimension type/unit,Vocabulary: Dimension type/unit,,Resource model: Grid,Resource model: Grid,Resource model:  Administrative ,Vocabulary: Administrative area type,Vocabulary: Administration area level,Vocabulary: Collection/sampling/survey method,,Resource model: Actor,Image type,,,Vocabulary: Overall condition,,Resource model: Actor,,Vocabulary: Disturbance cause,Vocabulary: Disturbance frequency,Vocabulary: Disturbance effect,Vocabulary: Extent of impact,Vocabulary:Severity of impact,,,,Resource model: Actor,,Vocabulary: Recording/verification method,Vocabulary: Disturbance cause,Vocabulary: Disturbance cause,Vocabulary: Probability of threat affecting site,,,,,,,,,,,Resource model: Actor,,,,,,
,Necessity,Necessity,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,,,,,
,Cardinality,Cardinality,1,1..n,1..n,1..n,1,1,1..n,1..n,1..n,1,0..1,1..n,1..n,0..n,0..1,0..n,0..n,0..n,1..n,0..1,0..1,0..1,0..1,1,1,1,1,1,0..1,0..1,0..1,0..n,0..1,1..n,1..n,1..n,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..n,0..n,0..n,0..n,0..n,0..n,0..n,1,1,1,1,1,1,1,1,0..n,,,,,
