,,,Definitions of Atributes,Example 1,Example 2,,,,,,,,,,,,,,,,,,,,,
Arches terminology,Universal terminology,User form,,1,2,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Semantic Node Class,CIDOC CRM Semantic Node Class,,Identifies the CIDOC CRM semantic node class associated with the metadata field.,E42 Identifier,E7 Activity,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Node Class,CIDOC CRM Node Class,,Identifies the CIDOC CRM node class associated with the metadata field.,E42 Identifier,E7 Activity,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Scope note,CIDOC CRM Scope note,,Provides the relevant CIDOC CRM scope note describing the intended meaning and scope of the associated class or property.,"This class comprises strings or codes assigned to instances of E1 CRM Entity in order to identify them uniquely and permanently within the context of one or more organisations. Such codes are often known as inventory numbers, registration codes, etc. and are typically composed of alphanumeric sequences. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. The class E42 Identifier is not normally used for machine-generated identifiers used for automated processing unless these are also used by human agent. ","This class comprises actions intentionally carried out by instances of E39 Actor that result in changes
of state in the cultural, social, or physical systems documented.
This notion includes complex, composite and long-lasting actions such as the building of a settlement
or a war, as well as simple, short-lived actions such as the opening of a door.",,,,,,,,,,,,,,,,,,,,,
Semantic Node (card),Group,Group,Identifies the group to which the metadata field belongs within the metadata structure.,Identifier,Activity Summary,,,,,,,,,,,,,,,,,,,,,
Node (En),Metadata (En),Metadata (En),The English name of the metadata field presented to users.,MAEASaM ID,Activity type,,,,,,,,,,,,,,,,,,,,,
Node (Fr),Metadata (Fr),Metadata (Fr),The French name of the metadata field presented to users.,MAEASaM ID,Type d’activité,,,,,,,,,,,,,,,,,,,,,
Node (Ar),Metadata (Ar),Metadata (Ar),The Arabic name of the metadata field presented to users.,MAEASaM ID,نوع النشاط,,,,,,,,,,,,,,,,,,,,,
Node (Pt),Metadata (Pt),Metadata (Pt),The Portuguese name of the metadata field presented to users.,MAEASaM ID,,,,,,,,,,,,,,,,,,,,,,
Data Type,Data Type,Data Type,Specifies the type or format of value that can be recorded for the metadata field.,String,Concept-list,,,,,,,,,,,,,,,,,,,,,
Collection,Collection,Collection,Identifies the related controlled vocabulary or resource instance associated with the metadata field.,,Activity/event type (cv),,,,,,,,,,,,,,,,,,,,,
,Necessity,Necessity,"Specifies whether the metadata field is required, recommended, or optional.",Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,
,Cardinality,Cardinality,Specifies the minimum and maximum number of values that may be recorded for the metadata field.,1,1..n,,,,,,,,,,,,,,,,,,,,,
,Dublin Core Equivalent,Dublin Core Equivalent,"Identifies the corresponding Dublin Core element or property, where an equivalent exists.",http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/type,,,,,,,,,,,,,,,,,,,,,
,Operational Info,Operational Info,"Specifies database or system-level characteristics of the metadata field, including whether it functions as a primary key, foreign key, derived value, or automatically populated value.",Primary Key,N/A,,,,,,,,,,,,,,,,,,,,,
MAEASaM Scope Note (En),Definition (En),Definition (En),Provides a clear explanation of the meaning and intended scope of the metadata field in English.,"A unique ID is given to each resource entered. Every resource must have exactly one unique MAEASaM ID. The ID starts with RS-the country code-8-digit number, with no duplication","The type of activity being carried out when remote sensing data is collected, documented, or updated.",,,,,,,,,,,,,,,,,,,,,
,Input Instructions (En),Input Instructions (En),Provides instructions on how users should provide or select a value for the metadata field.,,,,,,,,,,,,,,,,,,,,,,,
